,age,bmi,children,expenses
age,1.0,0.10941419648281503,0.04153621001636624,0.2983082112316941
bmi,0.10941419648281503,1.0,0.012641312587474862,0.19863713145786807
children,0.04153621001636624,0.012641312587474862,1.0,0.06738935382976861
expenses,0.2983082112316941,0.19863713145786807,0.06738935382976861,1.0
